epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
168,21982.3,0.18659,0.91727,1,0.2815,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335,0.0052005,0.0017335
169,22117.6,0.17324,0.91727,1,0.29168,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
170,22251,0.17961,0.91484,1,0.29122,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345,0.0049035,0.0016345
171,22384.3,0.1804,0.91484,1,0.29416,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
172,22518.4,0.18851,0.92701,1,0.28322,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355,0.0046065,0.0015355
173,22651.7,0.18342,0.92457,1,0.28015,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
174,22789.2,0.16743,0.92944,1,0.27795,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365,0.0043095,0.0014365
175,22925.4,0.1837,0.91971,1,0.282,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
176,23068.4,0.16349,0.91971,1,0.28851,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
177,23201.3,0.1703,0.92701,1,0.29743,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
178,23331.2,0.18483,0.92214,1,0.29232,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385,0.0037155,0.0012385
179,23460.9,0.1642,0.92214,1,0.28116,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
180,23592.7,0.16529,0.91484,1,0.28286,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395,0.0034185,0.0011395
181,23721,0.15568,0.91727,1,0.27154,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
182,23851.7,0.15643,0.92457,1,0.26601,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405,0.0031215,0.0010405
183,23994.3,0.15729,0.92214,1,0.26927,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
184,24130.6,0.16004,0.91727,1,0.26563,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415,0.0028245,0.0009415
185,24263.2,0.15614,0.91241,1,0.26251,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
186,24399.8,0.16666,0.91971,1,0.25488,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
187,24544.4,0.14615,0.91971,1,0.2535,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
188,24689.3,0.17351,0.92701,1,0.25372,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435,0.0022305,0.0007435
189,24828.1,0.17326,0.92457,1,0.25343,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
190,24988.2,0.1494,0.91727,1,0.25718,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445,0.0019335,0.0006445
191,25126.6,0.15627,0.91971,1,0.25924,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
192,25262.6,0.16781,0.92214,1,0.25473,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455,0.0016365,0.0005455
193,25398.6,0.16322,0.91727,1,0.26193,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
194,25533.5,0.15118,0.91971,1,0.26515,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465,0.0013395,0.0004465
195,25663,0.15309,0.91971,1,0.27085,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
196,25792.7,0.15004,0.91727,1,0.27422,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
197,25921.7,0.14221,0.91484,1,0.26935,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
